derived_from_real_fields,dominant_estimate_confidence,estimated_or_synthetic_fields,missing_fields,real_structured_fields,team_display_name,team_wc_id,year
18,C,8,0,5,Algeria 1986,team_algeria_1986,1986
18,C,8,0,6,Argentina 1986,team_argentina_1986,1986
18,C,8,0,6,Belgium 1986,team_belgium_1986,1986
18,C,8,0,5,Brazil 1986,team_brazil_1986,1986
18,C,8,0,5,Bulgaria 1986,team_bulgaria_1986,1986
18,C,8,0,5,Canada 1986,team_canada_1986,1986
18,C,8,0,5,Denmark 1986,team_denmark_1986,1986
18,C,8,0,5,England 1986,team_england_1986,1986
18,C,8,0,6,France 1986,team_france_1986,1986
18,C,8,0,5,Hungary 1986,team_hungary_1986,1986
18,C,8,0,5,Iraq 1986,team_iraq_1986,1986
18,C,8,0,5,Italy 1986,team_italy_1986,1986
18,C,8,0,5,Mexico 1986,team_mexico_1986,1986
18,C,8,0,5,Morocco 1986,team_morocco_1986,1986
18,C,8,0,5,Northern Ireland 1986,team_northern_ireland_1986,1986
18,C,8,0,5,Paraguay 1986,team_paraguay_1986,1986
18,C,8,0,5,Poland 1986,team_poland_1986,1986
18,C,8,0,5,Portugal 1986,team_portugal_1986,1986
18,C,8,0,5,Scotland 1986,team_scotland_1986,1986
18,C,8,0,5,South Korea 1986,team_south_korea_1986,1986
18,C,8,0,5,Soviet Union 1986,team_soviet_union_1986,1986
18,C,8,0,5,Spain 1986,team_spain_1986,1986
18,C,8,0,5,Uruguay 1986,team_uruguay_1986,1986
18,C,8,0,6,West Germany 1986,team_west_germany_1986,1986
18,C,8,0,6,Argentina 1990,team_argentina_1990,1990
18,C,8,0,5,Austria 1990,team_austria_1990,1990
18,C,8,0,5,Belgium 1990,team_belgium_1990,1990
18,C,8,0,5,Brazil 1990,team_brazil_1990,1990
18,C,8,0,5,Cameroon 1990,team_cameroon_1990,1990
18,C,8,0,5,Colombia 1990,team_colombia_1990,1990
18,C,8,0,5,Costa Rica 1990,team_costa_rica_1990,1990
18,C,8,0,5,Czechoslovakia 1990,team_czechoslovakia_1990,1990
18,C,8,0,5,Egypt 1990,team_egypt_1990,1990
18,C,8,0,6,England 1990,team_england_1990,1990
18,C,8,0,6,Italy 1990,team_italy_1990,1990
18,C,8,0,5,Netherlands 1990,team_netherlands_1990,1990
18,C,8,0,5,Republic of Ireland 1990,team_republic_of_ireland_1990,1990
18,C,8,0,5,Romania 1990,team_romania_1990,1990
18,C,8,0,5,Scotland 1990,team_scotland_1990,1990
18,C,8,0,5,South Korea 1990,team_south_korea_1990,1990
18,C,8,0,5,Soviet Union 1990,team_soviet_union_1990,1990
18,C,8,0,5,Spain 1990,team_spain_1990,1990
18,C,8,0,5,Sweden 1990,team_sweden_1990,1990
18,C,8,0,5,United Arab Emirates 1990,team_united_arab_emirates_1990,1990
18,C,8,0,5,United States 1990,team_united_states_1990,1990
18,C,8,0,5,Uruguay 1990,team_uruguay_1990,1990
18,C,8,0,6,West Germany 1990,team_west_germany_1990,1990
18,C,8,0,5,Yugoslavia 1990,team_yugoslavia_1990,1990
18,C,8,0,5,Argentina 1994,team_argentina_1994,1994
18,C,8,0,5,Belgium 1994,team_belgium_1994,1994
18,C,8,0,5,Bolivia 1994,team_bolivia_1994,1994
18,C,8,0,6,Brazil 1994,team_brazil_1994,1994
18,C,8,0,6,Bulgaria 1994,team_bulgaria_1994,1994
18,C,8,0,5,Cameroon 1994,team_cameroon_1994,1994
18,C,8,0,5,Colombia 1994,team_colombia_1994,1994
18,C,8,0,5,Germany 1994,team_germany_1994,1994
18,C,8,0,5,Greece 1994,team_greece_1994,1994
18,C,8,0,6,Italy 1994,team_italy_1994,1994
18,C,8,0,5,Mexico 1994,team_mexico_1994,1994
18,C,8,0,5,Morocco 1994,team_morocco_1994,1994
18,C,8,0,5,Netherlands 1994,team_netherlands_1994,1994
18,C,8,0,5,Nigeria 1994,team_nigeria_1994,1994
18,C,8,0,5,Norway 1994,team_norway_1994,1994
18,C,8,0,5,Republic of Ireland 1994,team_republic_of_ireland_1994,1994
18,C,8,0,5,Romania 1994,team_romania_1994,1994
18,C,8,0,5,Russia 1994,team_russia_1994,1994
18,C,8,0,5,Saudi Arabia 1994,team_saudi_arabia_1994,1994
18,C,8,0,5,South Korea 1994,team_south_korea_1994,1994
18,C,8,0,5,Spain 1994,team_spain_1994,1994
18,C,8,0,6,Sweden 1994,team_sweden_1994,1994
18,C,8,0,5,Switzerland 1994,team_switzerland_1994,1994
18,C,8,0,5,United States 1994,team_united_states_1994,1994
18,C,8,0,5,Argentina 1998,team_argentina_1998,1998
18,C,8,0,5,Austria 1998,team_austria_1998,1998
18,C,8,0,5,Belgium 1998,team_belgium_1998,1998
18,C,8,0,6,Brazil 1998,team_brazil_1998,1998
18,C,8,0,5,Bulgaria 1998,team_bulgaria_1998,1998
18,C,8,0,5,Cameroon 1998,team_cameroon_1998,1998
18,C,8,0,5,Chile 1998,team_chile_1998,1998
18,C,8,0,5,Colombia 1998,team_colombia_1998,1998
18,C,8,0,6,Croatia 1998,team_croatia_1998,1998
18,C,8,0,5,Denmark 1998,team_denmark_1998,1998
18,C,8,0,5,England 1998,team_england_1998,1998
18,C,8,0,6,France 1998,team_france_1998,1998
18,C,8,0,5,Germany 1998,team_germany_1998,1998
18,C,8,0,5,Iran 1998,team_iran_1998,1998
18,C,8,0,5,Italy 1998,team_italy_1998,1998
18,C,8,0,5,Jamaica 1998,team_jamaica_1998,1998
18,C,8,0,5,Japan 1998,team_japan_1998,1998
18,C,8,0,5,Mexico 1998,team_mexico_1998,1998
18,C,8,0,5,Morocco 1998,team_morocco_1998,1998
18,C,8,0,6,Netherlands 1998,team_netherlands_1998,1998
18,C,8,0,5,Nigeria 1998,team_nigeria_1998,1998
18,C,8,0,5,Norway 1998,team_norway_1998,1998
18,C,8,0,5,Paraguay 1998,team_paraguay_1998,1998
18,C,8,0,5,Romania 1998,team_romania_1998,1998
18,C,8,0,5,Saudi Arabia 1998,team_saudi_arabia_1998,1998
18,C,8,0,5,Scotland 1998,team_scotland_1998,1998
18,C,8,0,5,South Africa 1998,team_south_africa_1998,1998
18,C,8,0,5,South Korea 1998,team_south_korea_1998,1998
18,C,8,0,5,Spain 1998,team_spain_1998,1998
18,C,8,0,5,Tunisia 1998,team_tunisia_1998,1998
18,C,8,0,5,United States 1998,team_united_states_1998,1998
18,C,8,0,5,Yugoslavia 1998,team_yugoslavia_1998,1998
18,C,8,0,5,Argentina 2002,team_argentina_2002,2002
18,C,8,0,5,Belgium 2002,team_belgium_2002,2002
18,C,8,0,6,Brazil 2002,team_brazil_2002,2002
18,C,8,0,5,Cameroon 2002,team_cameroon_2002,2002
18,C,8,0,5,China 2002,team_china_2002,2002
18,C,8,0,5,Costa Rica 2002,team_costa_rica_2002,2002
18,C,8,0,5,Croatia 2002,team_croatia_2002,2002
18,C,8,0,5,Denmark 2002,team_denmark_2002,2002
18,C,8,0,5,Ecuador 2002,team_ecuador_2002,2002
18,C,8,0,5,England 2002,team_england_2002,2002
18,C,8,0,5,France 2002,team_france_2002,2002
18,C,8,0,6,Germany 2002,team_germany_2002,2002
18,C,8,0,5,Italy 2002,team_italy_2002,2002
18,C,8,0,5,Japan 2002,team_japan_2002,2002
18,C,8,0,5,Mexico 2002,team_mexico_2002,2002
18,C,8,0,5,Nigeria 2002,team_nigeria_2002,2002
18,C,8,0,5,Paraguay 2002,team_paraguay_2002,2002
18,C,8,0,5,Poland 2002,team_poland_2002,2002
18,C,8,0,5,Portugal 2002,team_portugal_2002,2002
18,C,8,0,5,Republic of Ireland 2002,team_republic_of_ireland_2002,2002
18,C,8,0,5,Russia 2002,team_russia_2002,2002
18,C,8,0,5,Saudi Arabia 2002,team_saudi_arabia_2002,2002
18,C,8,0,5,Senegal 2002,team_senegal_2002,2002
18,C,8,0,5,Slovenia 2002,team_slovenia_2002,2002
18,C,8,0,5,South Africa 2002,team_south_africa_2002,2002
18,C,8,0,6,South Korea 2002,team_south_korea_2002,2002
18,C,8,0,5,Spain 2002,team_spain_2002,2002
18,C,8,0,5,Sweden 2002,team_sweden_2002,2002
18,C,8,0,5,Tunisia 2002,team_tunisia_2002,2002
18,C,8,0,6,Turkey 2002,team_turkey_2002,2002
18,C,8,0,5,United States 2002,team_united_states_2002,2002
18,C,8,0,5,Uruguay 2002,team_uruguay_2002,2002
18,C,8,0,5,Angola 2006,team_angola_2006,2006
18,C,8,0,5,Argentina 2006,team_argentina_2006,2006
18,C,8,0,5,Australia 2006,team_australia_2006,2006
18,C,8,0,5,Brazil 2006,team_brazil_2006,2006
18,C,8,0,5,Costa Rica 2006,team_costa_rica_2006,2006
18,C,8,0,5,Croatia 2006,team_croatia_2006,2006
18,C,8,0,5,Czech Republic 2006,team_czech_republic_2006,2006
18,C,8,0,5,Ecuador 2006,team_ecuador_2006,2006
18,C,8,0,5,England 2006,team_england_2006,2006
18,C,8,0,6,France 2006,team_france_2006,2006
18,C,8,0,6,Germany 2006,team_germany_2006,2006
18,C,8,0,5,Ghana 2006,team_ghana_2006,2006
18,C,8,0,5,Iran 2006,team_iran_2006,2006
18,C,8,0,6,Italy 2006,team_italy_2006,2006
18,C,8,0,5,Ivory Coast 2006,team_ivory_coast_2006,2006
18,C,8,0,5,Japan 2006,team_japan_2006,2006
18,C,8,0,5,Mexico 2006,team_mexico_2006,2006
18,C,8,0,5,Netherlands 2006,team_netherlands_2006,2006
18,C,8,0,5,Paraguay 2006,team_paraguay_2006,2006
18,C,8,0,5,Poland 2006,team_poland_2006,2006
18,C,8,0,6,Portugal 2006,team_portugal_2006,2006
18,C,8,0,5,Saudi Arabia 2006,team_saudi_arabia_2006,2006
18,C,8,0,5,Serbia and Montenegro 2006,team_serbia_and_montenegro_2006,2006
18,C,8,0,5,South Korea 2006,team_south_korea_2006,2006
18,C,8,0,5,Spain 2006,team_spain_2006,2006
18,C,8,0,5,Sweden 2006,team_sweden_2006,2006
18,C,8,0,5,Switzerland 2006,team_switzerland_2006,2006
18,C,8,0,5,Togo 2006,team_togo_2006,2006
18,C,8,0,5,Trinidad and Tobago 2006,team_trinidad_and_tobago_2006,2006
18,C,8,0,5,Tunisia 2006,team_tunisia_2006,2006
18,C,8,0,5,Ukraine 2006,team_ukraine_2006,2006
18,C,8,0,5,United States 2006,team_united_states_2006,2006
18,C,8,0,5,Algeria 2010,team_algeria_2010,2010
18,C,8,0,5,Argentina 2010,team_argentina_2010,2010
18,C,8,0,5,Australia 2010,team_australia_2010,2010
18,C,8,0,5,Brazil 2010,team_brazil_2010,2010
18,C,8,0,5,Cameroon 2010,team_cameroon_2010,2010
18,C,8,0,5,Chile 2010,team_chile_2010,2010
18,C,8,0,5,Denmark 2010,team_denmark_2010,2010
18,C,8,0,5,England 2010,team_england_2010,2010
18,C,8,0,5,France 2010,team_france_2010,2010
18,C,8,0,6,Germany 2010,team_germany_2010,2010
18,C,8,0,5,Ghana 2010,team_ghana_2010,2010
18,C,8,0,5,Greece 2010,team_greece_2010,2010
18,C,8,0,5,Honduras 2010,team_honduras_2010,2010
18,C,8,0,5,Italy 2010,team_italy_2010,2010
18,C,8,0,5,Ivory Coast 2010,team_ivory_coast_2010,2010
18,C,8,0,5,Japan 2010,team_japan_2010,2010
18,C,8,0,5,Mexico 2010,team_mexico_2010,2010
18,C,8,0,6,Netherlands 2010,team_netherlands_2010,2010
18,C,8,0,5,New Zealand 2010,team_new_zealand_2010,2010
18,C,8,0,5,Nigeria 2010,team_nigeria_2010,2010
18,C,8,0,5,North Korea 2010,team_north_korea_2010,2010
18,C,8,0,5,Paraguay 2010,team_paraguay_2010,2010
18,C,8,0,5,Portugal 2010,team_portugal_2010,2010
18,C,8,0,5,Serbia 2010,team_serbia_2010,2010
18,C,8,0,5,Slovakia 2010,team_slovakia_2010,2010
18,C,8,0,5,Slovenia 2010,team_slovenia_2010,2010
18,C,8,0,5,South Africa 2010,team_south_africa_2010,2010
18,C,8,0,5,South Korea 2010,team_south_korea_2010,2010
18,C,8,0,6,Spain 2010,team_spain_2010,2010
18,C,8,0,5,Switzerland 2010,team_switzerland_2010,2010
18,C,8,0,5,United States 2010,team_united_states_2010,2010
18,C,8,0,6,Uruguay 2010,team_uruguay_2010,2010
18,C,8,0,5,Algeria 2014,team_algeria_2014,2014
18,C,8,0,6,Argentina 2014,team_argentina_2014,2014
18,C,8,0,5,Australia 2014,team_australia_2014,2014
18,C,8,0,5,Belgium 2014,team_belgium_2014,2014
18,C,8,0,5,Bosnia and Herzegovina 2014,team_bosnia_and_herzegovina_2014,2014
18,C,8,0,6,Brazil 2014,team_brazil_2014,2014
18,C,8,0,5,Cameroon 2014,team_cameroon_2014,2014
18,C,8,0,5,Chile 2014,team_chile_2014,2014
18,C,8,0,5,Colombia 2014,team_colombia_2014,2014
18,C,8,0,5,Costa Rica 2014,team_costa_rica_2014,2014
18,C,8,0,5,Croatia 2014,team_croatia_2014,2014
18,C,8,0,5,Ecuador 2014,team_ecuador_2014,2014
18,C,8,0,5,England 2014,team_england_2014,2014
18,C,8,0,5,France 2014,team_france_2014,2014
18,C,8,0,6,Germany 2014,team_germany_2014,2014
18,C,8,0,5,Ghana 2014,team_ghana_2014,2014
18,C,8,0,5,Greece 2014,team_greece_2014,2014
18,C,8,0,5,Honduras 2014,team_honduras_2014,2014
18,C,8,0,5,Iran 2014,team_iran_2014,2014
18,C,8,0,5,Italy 2014,team_italy_2014,2014
18,C,8,0,5,Ivory Coast 2014,team_ivory_coast_2014,2014
18,C,8,0,5,Japan 2014,team_japan_2014,2014
18,C,8,0,5,Mexico 2014,team_mexico_2014,2014
18,C,8,0,6,Netherlands 2014,team_netherlands_2014,2014
18,C,8,0,5,Nigeria 2014,team_nigeria_2014,2014
18,C,8,0,5,Portugal 2014,team_portugal_2014,2014
18,C,8,0,5,Russia 2014,team_russia_2014,2014
18,C,8,0,5,South Korea 2014,team_south_korea_2014,2014
18,C,8,0,5,Spain 2014,team_spain_2014,2014
18,C,8,0,5,Switzerland 2014,team_switzerland_2014,2014
18,C,8,0,5,United States 2014,team_united_states_2014,2014
18,C,8,0,5,Uruguay 2014,team_uruguay_2014,2014
18,C,8,0,5,Argentina 2018,team_argentina_2018,2018
18,C,8,0,5,Australia 2018,team_australia_2018,2018
18,C,8,0,6,Belgium 2018,team_belgium_2018,2018
18,C,8,0,5,Brazil 2018,team_brazil_2018,2018
18,C,8,0,5,Colombia 2018,team_colombia_2018,2018
18,C,8,0,5,Costa Rica 2018,team_costa_rica_2018,2018
18,C,8,0,6,Croatia 2018,team_croatia_2018,2018
18,C,8,0,5,Denmark 2018,team_denmark_2018,2018
18,C,8,0,5,Egypt 2018,team_egypt_2018,2018
18,C,8,0,6,England 2018,team_england_2018,2018
18,C,8,0,6,France 2018,team_france_2018,2018
18,C,8,0,5,Germany 2018,team_germany_2018,2018
18,C,8,0,5,Iceland 2018,team_iceland_2018,2018
18,C,8,0,5,Iran 2018,team_iran_2018,2018
18,C,8,0,5,Japan 2018,team_japan_2018,2018
18,C,8,0,5,Mexico 2018,team_mexico_2018,2018
18,C,8,0,5,Morocco 2018,team_morocco_2018,2018
18,C,8,0,5,Nigeria 2018,team_nigeria_2018,2018
18,C,8,0,5,Panama 2018,team_panama_2018,2018
18,C,8,0,5,Peru 2018,team_peru_2018,2018
18,C,8,0,5,Poland 2018,team_poland_2018,2018
18,C,8,0,5,Portugal 2018,team_portugal_2018,2018
18,C,8,0,5,Russia 2018,team_russia_2018,2018
18,C,8,0,5,Saudi Arabia 2018,team_saudi_arabia_2018,2018
18,C,8,0,5,Senegal 2018,team_senegal_2018,2018
18,C,8,0,5,Serbia 2018,team_serbia_2018,2018
18,C,8,0,5,South Korea 2018,team_south_korea_2018,2018
18,C,8,0,5,Spain 2018,team_spain_2018,2018
18,C,8,0,5,Sweden 2018,team_sweden_2018,2018
18,C,8,0,5,Switzerland 2018,team_switzerland_2018,2018
18,C,8,0,5,Tunisia 2018,team_tunisia_2018,2018
18,C,8,0,5,Uruguay 2018,team_uruguay_2018,2018
18,C,8,0,6,Argentina 2022,team_argentina_2022,2022
18,C,8,0,5,Australia 2022,team_australia_2022,2022
18,C,8,0,5,Belgium 2022,team_belgium_2022,2022
18,C,8,0,5,Brazil 2022,team_brazil_2022,2022
18,C,8,0,5,Cameroon 2022,team_cameroon_2022,2022
18,C,8,0,5,Canada 2022,team_canada_2022,2022
18,C,8,0,5,Costa Rica 2022,team_costa_rica_2022,2022
18,C,8,0,6,Croatia 2022,team_croatia_2022,2022
18,C,8,0,5,Denmark 2022,team_denmark_2022,2022
18,C,8,0,5,Ecuador 2022,team_ecuador_2022,2022
18,C,8,0,5,England 2022,team_england_2022,2022
18,C,8,0,6,France 2022,team_france_2022,2022
18,C,8,0,5,Germany 2022,team_germany_2022,2022
18,C,8,0,5,Ghana 2022,team_ghana_2022,2022
18,C,8,0,5,Iran 2022,team_iran_2022,2022
18,C,8,0,5,Japan 2022,team_japan_2022,2022
18,C,8,0,5,Mexico 2022,team_mexico_2022,2022
18,C,8,0,6,Morocco 2022,team_morocco_2022,2022
18,C,8,0,5,Netherlands 2022,team_netherlands_2022,2022
18,C,8,0,5,Poland 2022,team_poland_2022,2022
18,C,8,0,5,Portugal 2022,team_portugal_2022,2022
18,C,8,0,5,Qatar 2022,team_qatar_2022,2022
18,C,8,0,5,Saudi Arabia 2022,team_saudi_arabia_2022,2022
18,C,8,0,5,Senegal 2022,team_senegal_2022,2022
18,C,8,0,5,Serbia 2022,team_serbia_2022,2022
18,C,8,0,5,South Korea 2022,team_south_korea_2022,2022
18,C,8,0,5,Spain 2022,team_spain_2022,2022
18,C,8,0,5,Switzerland 2022,team_switzerland_2022,2022
18,C,8,0,5,Tunisia 2022,team_tunisia_2022,2022
18,C,8,0,5,United States 2022,team_united_states_2022,2022
18,C,8,0,5,Uruguay 2022,team_uruguay_2022,2022
18,C,8,0,5,Wales 2022,team_wales_2022,2022
